herd,year,age,sex,mu,tau,sight_grp
28,54,NA,NA,6,0.6944444444444443,2
28,57,NA,NA,0,10,2
28,58,NA,NA,0,10,2
28,60,NA,NA,0,10,2
29,44,NA,NA,44,0.012913223140495866,2
29,54,NA,NA,9,0.30864197530864196,2
29,55,NA,NA,11,0.20661157024793386,2
29,56,NA,NA,10,0.25,2
29,57,NA,NA,16,0.09765624999999999,2
29,58,NA,NA,15,0.1111111111111111,2
29,60,NA,NA,14,0.12755102040816324,2
29,61,NA,NA,15,0.1111111111111111,2
29,62,NA,NA,15,0.1111111111111111,2
29,63,NA,NA,14,0.12755102040816324,2
31,37,NA,NA,117,0.0018262838775659287,2
31,38,NA,NA,103,0.0023564897728343857,2
31,38,NA,NA,51,0.009611687812379852,2
31,39,NA,NA,84,0.003543083900226757,2
31,46,NA,NA,178,7.89041787653074e-4,2
31,46,NA,NA,145,0.0011890606420927466,2
31,47,NA,NA,127,0.0015500031000061998,2
31,48,NA,NA,106,0.002224991100035599,2
31,49,NA,NA,107,0.002183596820683029,2
31,50,NA,NA,120,0.001736111111111111,2
31,51,NA,NA,108,0.002143347050754458,2
31,59,NA,NA,44,0.012913223140495866,2
31,67,NA,NA,32,0.024414062499999997,2
34,44,NA,NA,82,0.003718024985127899,2
34,46,NA,NA,80,0.00390625,2
34,55,NA,NA,122,0.0016796560064498787,2
34,63,NA,NA,70,0.00510204081632653,2
34,66,NA,NA,67,0.005569169079973268,2
34,69,NA,NA,39,0.016436554898093356,2
34,71,NA,NA,37,0.018261504747991233,2
38,66,NA,NA,173,8.353102342209896e-4,3
38,69,NA,NA,192,6.781684027777776e-4,3
38,71,NA,NA,202,6.126850308793253e-4,3
39,57,NA,NA,201,6.187965644414742e-4,2
39,59,NA,NA,159,9.888849333491555e-4,2
39,62,NA,NA,166,9.072434315575553e-4,2
39,64,NA,NA,110,0.002066115702479339,2
39,68,NA,NA,123,0.0016524555489457332,2
39,70,NA,NA,113,0.0019578667084344894,2
39,71,NA,NA,132,0.0014348025711662072,2
