herd,year,events,trials,dist.hum_scale,dist.nat_scale,dist.all_scale,dist.hum.es_scale,dist.cuts_scale,grow.seas.length_scale,snow.depth_scale,cooler.winter_scale,warm.dry.summer_scale,start.spring_scale,rain.on.snow_scale,greenness_scale,season.num,type.otc,type.osc,type.mnka
1,29,44,249,-0.3185280047158418,-0.5699246500195286,-0.5139287985811797,-0.3023538078671934,-0.3911171626922987,-0.8091972710000378,-1.325648887452824,-0.4883772254771232,-2.846240160711339,-0.23901706125408514,-0.6178123158690745,-0.7922939568150995,9,0,1,0
1,30,17,99,-0.2776441819863754,-0.5699246500279945,-0.47226096142618207,-0.2614880330141117,-0.3436365218872042,-0.0413039654287908,-0.6473283147786116,-0.05048881253611772,-0.7382970786827413,-1.3636078994057472,-0.4777409193948331,-0.7838123702793254,9,0,1,0
1,31,16,129,-0.22883284409653032,-0.5698184229813051,-0.42247830416163207,-0.21280205061251528,-0.29033278362557075,-1.3029465322584137,-1.284228502604907,-0.3713551255603695,-1.3211006699134566,1.5443863278503562,-0.8928983587916544,-1.3153737706283946,9,0,1,0
1,33,12,83,-0.17167857540580028,-0.5696059688779391,-0.36415744486953694,-0.1557768203350393,-0.19919613999257701,-0.7089385589903965,-0.8797056901433074,-0.29423009305000625,-1.5011736047282322,-0.07453515876726742,-0.5863191315737099,-1.3312658004588453,9,0,1,0
1,34,10,94,-0.17178242931380464,-0.5694997418420944,-0.36422800852344256,-0.1558806284013774,-0.18624060955388147,-1.135354754384153,-0.9200134783145771,-0.774947635444989,-0.08392622100223714,0.9311352248448679,-0.6107398166922473,-1.3464135754487507,9,0,1,0
1,35,4,95,-0.1706054183316775,-0.5697121959302319,-0.36309899007525814,-0.1547041369985647,-0.17683406750791175,-0.5671025551269631,-1.225538305446141,-0.4531222331064971,0.19517072117045578,1.003101750737128,-0.9099916798981472,-0.7027644774672418,9,0,1,0
1,36,9,54,-0.17212860901798327,-0.5697121959302036,-0.36465139044390454,-0.15622665528164226,-0.16701405108603298,-0.8226766306123433,-0.6682393525766475,-0.43447215531901395,-1.734392912123883,1.8145666251467507,-0.6737435624307897,-1.1895947025763716,9,0,1,0
1,37,7,64,-0.16506654310984437,-0.5692872877526741,-0.35731277052215343,-0.1493061176257599,-0.1484077041834055,-0.5246569120926597,-1.4964555962108352,-0.9242013292822355,-1.4639272958558363,-0.01558247119189395,-0.9703540991627837,-1.0816777506974118,9,0,1,0
3,18,1,32,0.18448656409791717,-0.5149370921697285,0.016995248279880793,0.20043870869822927,0.2755222899593335,0.4252441524115215,-1.383677713609336,-1.4690139916984781,0.3051923559292103,-0.4313517374031082,0.3140101852375854,0.6284593473200774,9,1,0,0
3,19,6,32,0.29861107946678034,-0.5263327399935317,0.1295233836709454,0.314512844601369,0.38911349359306563,0.9168826665145052,-0.9023033934966554,-0.6610644242022183,0.4409026775572692,0.14656992711463437,0.7279114832227398,0.7541829610898667,9,1,0,0
3,20,2,35,0.3985950103280774,-0.5280859165800569,0.2308423775035733,0.4144526382586531,0.4886301926463632,0.5151843611054064,-0.9363924980960918,0.04469247031179677,0.03838625346310838,-0.06836821313911004,-0.38475203093915383,0.7899400282083812,9,1,0,0
3,22,6,25,0.5230035871576022,-0.5280859165818046,0.35763669306075235,0.5388062957957557,0.6124573996119312,0.3633683717284828,-0.17162960912128067,-0.0604523085690435,0.04367934502256424,-0.644757146744566,-0.6977219399235238,1.0146356722000345,9,1,0,0
3,23,3,22,0.5886358960588302,-0.5298390931708142,0.42394531617917375,0.6044096317752063,0.6777830042049073,0.416715917272703,-1.108769255857949,-2.074023281838045,-0.5684052241343336,0.4009485181649725,0.5260965910658143,0.8716074037259764,9,1,0,0
3,24,5,11,0.6526256118102496,-0.5219497985221254,0.49178245860190206,0.6683710997160575,0.7414736915992063,1.088134319469105,-0.7071286448540395,0.760672706078487,0.984889817059269,0.2619079282644273,0.08425390274407857,0.6601551179263656,9,1,0,0
3,25,6,33,0.7084737789055139,-0.5250178575523128,0.5476825931295689,0.724194613030223,0.7970608763560028,0.6893848733614432,-0.7367444566546923,-0.8087050466238592,-0.6870666285742217,-2.295289377721504,-0.5104404016091982,0.5361972852488495,9,1,0,0
3,26,1,10,0.8156708362077574,-0.5425496234337333,0.6511123993337632,0.8313443489444498,0.9037569944126687,0.9039981619531071,-1.0793281820572547,-0.7068038887815519,0.37009896023460503,-0.3138514908592014,-0.2943076419104755,0.6039149901374927,9,1,0,0
3,27,1,14,0.864305876862377,-0.542987917580855,0.7005345234802142,0.8799579200019745,0.9521647601663974,0.3211460680942469,-0.6004503361525902,0.42702736314261075,-0.9072175342789981,0.40034637387800626,-0.5808206217415108,0.3639812538893918,9,1,0,0
3,28,10,40,1.0337072225793236,-0.5377283878167769,0.8749312973465976,1.049284484684693,1.1207744817057879,-0.192575381004749,-0.04345244858219012,-0.14472492087675565,-0.5542339392038157,1.1756345135478898,-0.40630066101881257,0.9660766921625451,9,1,0,0
3,29,3,23,1.1493314969112989,-0.5416730351401855,0.9914626975804535,1.1648577174928845,1.2358584358255114,0.6145910783522175,-1.3291184321806824,-1.4500148417463485,-0.46586032079892364,-0.4043099848791438,-0.10754087642580623,0.8443260858503686,9,1,0,0
3,30,5,15,1.3169474152912235,-0.5418921822148932,1.1622201397714629,1.3323996430029386,1.402691073453024,1.340697416684394,-0.3480283798037798,-1.0908884042900833,0.6766547587588404,-1.4836809894693312,0.3438670093590389,0.8867048320649042,9,1,0,0
