herd,year,est,sd,season_int,herd_num,trt
A La Peche,2006,0.07344262295081967,0.037040539149598754,1,1,NA
A La Peche,2005,0.14864516129032257,0.04695301415158426,1,1,NA
A La Peche,2004,0.0372093023255814,0.020184104650151677,1,1,NA
A La Peche,2003,0.09566517189835576,0.03023396596057474,1,1,NA
A La Peche,2002,0.11479820627802688,0.03608111105039311,1,1,NA
A La Peche,2000,0.10847457627118644,0.0273731956568612,1,1,NA
A La Peche,1999,0.16059040590405904,0.035016053541816174,1,1,NA
A La Peche,1998,0.1568365357839042,0.022282817918159684,1,1,NA
Barkerville,2020,0.15,0.05264730886222754,1,3,NA
Barkerville,2018,0.07894736842105263,0.04211328550019063,1,3,NA
Barkerville,2016,0.13333333333333333,0.04760036981969445,1,3,NA
Barkerville,2013,0.2307692307692308,0.1053312610586858,1,3,NA
Barkerville,2001,0.34615384615384615,0.08041523681967341,1,3,NA
Barkerville,2000,0.1176470588235294,0.05226607744933168,1,3,NA
Barkerville,1999,0.3333333333333333,0.10540925533894598,1,3,NA
Barkerville,1998,0.13043478260869565,0.06604821959241304,1,3,NA
Barkerville,1997,0.25,0.06123724356957945,1,3,NA
Barkerville,1996,0.07142857142857142,0.06649638116080449,1,3,NA
Barkerville,1995,0.1,0.09045340337332908,1,3,NA
Barkerville,1994,0.18181818181818185,0.06176056549879613,1,3,NA
Barkerville,1993,0.4545454545454545,0.12448239943299227,1,3,NA
Barkerville,1992,0.13636363636363635,0.06863485850246136,1,3,NA
Barkerville,1991,0.24,0.07670639456878374,1,3,NA
Barkerville,1989,0.05714285714285714,0.03815953390148521,1,3,NA
Barkerville,1988,0.1875,0.06331702814118473,1,3,NA
Barkerville,1987,0.03125,0.03028823028734749,1,3,NA
Brazeau,2020,0.3333333333333333,0.16666666666666669,2,4,NA
Brazeau,2019,0.25,0.13693063937629152,2,4,NA
Brazeau,2018,0.3333333333333333,0.16666666666666669,2,4,NA
Brazeau,2017,0.4,0.1851640199545103,2,4,NA
Brazeau,2016,0.3333333333333333,0.13608276348795434,2,4,NA
Brazeau,2015,0.16666666666666666,0.14085904245475278,2,4,NA
Brazeau,2014,0,0,2,4,NA
Brazeau,2012,0.375,0.14596855203028555,2,4,NA
Brazeau,2011,0.2,0.16329931618554522,2,4,NA
Brazeau,2010,0.2857142857142857,0.15058465048420855,2,4,NA
Brazeau,2009,0.3,0.1270977818604485,2,4,NA
Brazeau,2008,0.17647058823529413,0.08524339262464375,2,4,NA
Brazeau,2007,0.21428571428571427,0.09951864943131944,2,4,NA
Brazeau,2006,0.14285714285714285,0.07142857142857142,2,4,NA
Brazeau,2005,0.3076923076923077,0.1119395192475383,2,4,NA
Brazeau,2004,0.3333333333333333,0.11785113019775792,2,4,NA
Brazeau,2002,0,0,2,4,NA
Brazeau,2001,0.2727272727272727,0.11902794012872311,2,4,NA
Brazeau,1999,0.2307692307692308,0.1053312610586858,2,4,NA
Brazeau,1997,0.14285714285714285,0.12371791482634838,2,4,NA
Brazeau,1994,0.4090909090909091,0.08830583533673635,2,4,NA
Burnt Pine,2008,0.18181818181818185,0.1069724373481004,1,5,NA
Burnt Pine,2006,0.1108225108225108,0.08244625898677897,1,5,NA
Burnt Pine,2005,0.10389610389610388,0.1102396379610246,1,5,NA
Burnt Pine,2004,0.1385281385281385,0.09960238411119948,1,5,NA
Burnt Pine,2003,0.11873840445269015,0.08748177652797065,1,5,NA
Burnt Pine,2002,0.05263157894736842,0.049930699897395465,1,5,NA
Central Rockies,2002,0,0,1,6,NA
Central Rockies,1997,0.0625,0.058708527289232766,1,6,NA
Central Rockies,1995,0.14285714285714285,0.12371791482634838,1,6,NA
Chase,2017,0.1904761904761905,0.03206192043924469,1,8,NA
Chase,2010,0.14816487859966124,0.02149144775740739,1,8,NA
Chase,2009,0.15916573289707617,0.019179961518441497,1,8,NA
Chase,2008,0.21117734790641768,0.023050870722005658,1,8,NA
Chase,2007,0.17844558207565986,0.018619224440148945,1,8,NA
Chase,2006,0.2925714285714286,0.04688261722621507,1,8,NA
Chase,2002,0.1394673123486683,0.025173242618051043,1,8,NA
Chase,2001,0.18156028368794327,0.0306870946217681,1,8,NA
Chase,2000,0.11743119266055048,0.03016801718727648,1,8,NA
Columbia North,2004,0.16216216216216217,0.032453376853364135,1,9,NA
Columbia North,2002,0.1328125,0.02818330880989913,1,9,NA
Columbia North,1997,0.1340782122905028,0.023915001916113503,1,9,NA
Columbia North,1996,0.23703703703703705,0.03290800824488085,1,9,NA
Columbia North,1994,0.24096385542168677,0.02979707060290623,1,9,NA
Columbia South,2004,0.1875,0.06331702814118473,1,10,NA
Columbia South,2002,0.20833333333333331,0.07541392800006155,1,10,NA
Columbia South,1997,0.17721518987341772,0.03959607430736361,1,10,NA
Columbia South,1996,0.14084507042253522,0.038651295884909134,1,10,NA
Columbia South,1994,0.14130434782608697,0.03399403716781759,1,10,NA
Duncan,2010,0,0,1,11,NA
Duncan,2008,0,0,1,11,NA
Duncan,2007,0.125,0.1102396379610246,1,11,NA
Duncan,2002,0.3076923076923077,0.1119395192475383,1,11,NA
Duncan,1999,0.08333333333333333,0.05420363629899924,1,11,NA
Duncan,1997,0.09090909090909093,0.05868156585162753,1,11,NA
Duncan,1996,0.2,0.06666666666666668,1,11,NA
Duncan,1995,0.2,0.08164965809277261,1,11,NA
Frisby-Boulder,2004,0.3333333333333333,0.11785113019775792,1,12,NA
Frisby-Boulder,2002,0.3333333333333333,0.10540925533894598,1,12,NA
Frisby-Boulder,1997,0.12903225806451613,0.056665165526043865,1,12,NA
