herd,year,ECCC,herd_num,dist.hum,dist.nat,dist.all,dist.hum.es,dist.cuts,grow.seas.length,snow.depth,cooler.winter,warm.dry.summer,start.spring,rain.on.snow,greenness,dist.hum_scale,dist.nat_scale,dist.all_scale,dist.hum.es_scale,dist.cuts_scale,grow.seas.length_scale,snow.depth_scale,cooler.winter_scale,warm.dry.summer_scale,start.spring_scale,rain.on.snow_scale,greenness_scale,yr_idx
Redrock/Prairie Creek,2003,Central Group,32,0.10705140508513468,0.00266364568323453,0.1097150507683692,0.08832162234273816,0.05340867065809374,122.98731532607091,384.34024772422623,296.21455888316166,-95.77011804394957,174.23026413968088,6.729840020223017,615.2730769230769,-0.015257334776809295,-0.5489460777286382,-0.1774234213672057,-0.1239574684911967,-0.2842966924717837,-0.7031192400792603,-0.7148161567519019,-1.0185391360275893,-0.27510767004336417,0.8522017845905822,-0.33848338058083366,-0.28352615117490343,34
Redrock/Prairie Creek,2004,Central Group,32,0.10312381505248978,0.00316454214766348,0.10628835720015328,0.08565797665909229,0.05412490578925021,136.23235338009297,296.8267422772823,343.0220110337637,-88.16986457828126,174.55096254290407,5.877758116356873,681.2615384615385,-0.04239187392974508,-0.5369532953535553,-0.2016108923861482,-0.14237110429476704,-0.27936010598345196,-0.06970607780771622,-1.0962231548447834,-0.6548237917285527,-0.12475501353080572,0.8773421239046304,-0.46236279394288493,0.4115801456370149,35
Redrock/Prairie Creek,2005,Central Group,32,0.10279144450136649,0.0028087652197466002,0.10560020972111309,0.08542859416633963,0.05684004550184199,133.7812266825843,463.90777495895975,347.1170535000965,-151.98853138005043,182.0073123414413,9.007078112023663,637.5461538461537,-0.044688122178105326,-0.5454715333000879,-0.2064682123871044,-0.14395681282469483,-0.2606462487094147,-0.1869255154767314,-0.3680398328772757,-0.6230034359491096,-1.3872531831089026,1.461863786923331,-0.00740849491785023,-0.048907012348896786,36
Redrock/Prairie Creek,2006,Central Group,32,0.09852680264214957,0.0028134464955432,0.10134024913769275,0.0849417415278763,0.06147918939030646,139.14863453215872,279.40665572301384,277.9023243225311,-124.66791038481205,163.16893001044613,5.325882055541085,645.323076923077,-0.07415125110458431,-0.5453594512115661,-0.23653733619468273,-0.1473223982813914,-0.22867136498618476,0.0697582905896199,-1.1721444984733937,-1.1608335868486812,-0.8467806892950832,-0.014923497232196865,-0.5425969619873213,0.03301319119214942,37
Redrock/Prairie Creek,2007,Central Group,32,0.09945837643989242,0.00270577716213239,0.1021641536020248,0.08651465005136579,0.06984462847064077,140.9288165945388,370.338755409645,293.7452387686393,-58.62470902422307,160.51231159528396,5.299953053339067,641.9038461538462,-0.06771528770753904,-0.5479373390102716,-0.2307217693934224,-0.13644896834974077,-0.17101332541716657,0.15489136041940677,-0.7758383626988752,-1.0377268844388534,0.4597245231972251,-0.22318237134528293,-0.5463666343243058,-0.003004148544739424,38
Redrock/Prairie Creek,2008,Central Group,32,0.09977670316497964,0.00274322736503784,0.10251993053001748,0.08908935150310635,0.07911355369660923,134.26578122668178,374.5467840620954,447.5915721000198,-104.56349868245192,172.47470526787006,2.5635405005238865,660.8346153846153,-0.0655160640325853,-0.5470406823851149,-0.22821050190955697,-0.11865019911914905,-0.10712808851459826,-0.16375282055369736,-0.7574986610948413,0.1577295979334239,-0.4490634656884864,0.7145791919006033,-0.9441983218900466,0.19640793940235132,39
Redrock/Prairie Creek,2009,Central Group,32,0.09696793794501728,0.00291175327822137,0.09987969122323866,0.09328845550682696,0.08794243903821083,129.1865393224885,492.6330398447946,475.4936483216864,-111.20036641529258,140.1948962841369,6.089090318153474,643.5807692307694,-0.08492097880194806,-0.5430057275693002,-0.2468467500725447,-0.08962202457605718,-0.04627578710066622,-0.4066557600058219,-0.24284753263087153,0.3745415112793825,-0.5803578625217806,-1.8159147010762615,-0.4316383893236944,0.014660148559068,40
Redrock/Prairie Creek,2010,Central Group,32,0.10314254015371951,0.00289770945174792,0.10604024960546744,0.10019801794797129,0.09761863522103834,128.02432472765298,380.8953887479367,391.4535229371808,-79.79704570026006,170.57573496493083,2.534866924271561,674.0271317829458,-0.04226250783291786,-0.5433419738129257,-0.20336217102737428,-0.04185660024262496,0.020416528392802766,-0.4622359719123751,-0.729829763100884,-0.2784887592171179,0.04088098354423298,0.5657142231842853,-0.9483670124689844,0.3353746770028207,41
Redrock/Prairie Creek,2011,Central Group,32,0.11493935407761016,0.00306623536529225,0.11800558944290242,0.11212590758212083,0.1102955289138189,130.60483509923912,367.9976122966795,491.3278517490649,-56.46394350715674,168.09535890165614,2.7458741107217417,659.5961538461538,0.03923813419874251,-0.5393070189884723,-0.11890428041405145,0.0406002433897402,0.10779088270121628,-0.33882906072992314,-0.7860416834579018,0.49758052508342443,0.5024700496535704,0.37127142200273044,-0.9176898600097865,0.18336228878899077,42
Redrock/Prairie Creek,2012,Central Group,32,0.11341793958361351,0.00308496046653755,0.11650290005015108,0.11203696335043235,0.1107496126245503,130.2034024772414,397.5329055364956,335.5347018859963,-190.5672782302509,157.28040590956613,7.964067747644775,627.7269230769231,0.02872713869970476,-0.5388586906808603,-0.1295110812306674,0.03998537681826048,0.11092061400516491,-0.35802664291137376,-0.6573190654475793,-0.713003613518287,-2.1504405031179856,-0.4765394344093023,-0.1590459272861985,-0.15234038506911643,43
